"rsid" "gene" "protein" "eQTL" "ref"
"1582" "rs4947994" "EGFR" "." "." NA
"1583" "rs4948721" "FXYD4" "." "." NA
"1584" "rs4953318" "PRKCE" "." "." NA
"1585" "rs4957982" "NREP" "." "." NA
"1586" "rs4958244" "AC005355.2" "A549,GR,HudsonAlpha,DEX_50nM;A549,GR,HudsonAlpha,DEX_5nM;ECC-1,GR,HudsonAlpha,DEX_100nM" "Thyroid, Lymphoblastoid_EUR_exonlevel" NA
"1587" "rs4964764" "DAO" "." "Lymphoblastoid_EUR_exonlevel" NA
"1588" "rs4965594" "ADAMTS17" "." "." NA
"1589" "rs4970966" "ENSA" "A549,GR,HudsonAlpha,DEX_100nM;A549,GR,HudsonAlpha,DEX_50nM;A549,GR,HudsonAlpha,DEX_5nM;GM12878,NFKB,Stanford,TNFa;HepG2,CEBPB,Stanford,forskolin;MCF10A-Er-Src,STAT3,Harvard(Weissman),EtOH_0.01pct;MCF10A-Er-Src,STAT3,Harvard(Weissman),EtOH_0.01pct_4hr;MCF10A-Er-Src,STAT3,Harvard(Weissman),TAM_1uM_36hr;MCF10A-Er-Src,STAT3,Stanford,EtOH_0.01pct_12hr" "Whole_Blood" NA
"1590" "rs4980067" "ZCCHC24" "." "Cells_Transformed_fibroblasts, Liver" NA
"1591" "rs4982541" "TRAV19" "." "." NA
"1592" "rs4985445" "WWP2" "." "." NA
"1593" "rs499368" "SLC6A12" "." "Pancreas, Whole_Blood, Colon_Transverse" NA
"1594" "rs5019496" "Y_RNA" "." "Lymphoblastoid_EUR_exonlevel" "https://en.wikipedia.org/wiki/Y_RNA"
"1595" "rs505350" "OPCML" "." "." NA
"1596" "rs536109" "UCK2" "." "." NA
"1597" "rs543874" "RP4-798P15.2" "." "." NA
"1598" "rs544096" "AP002954.4" "." "Whole_Blood, Cells_Transformed_fibroblasts, Adipose_Subcutaneous" NA
"1599" "rs550057" "ABO" "." "Adrenal_Gland, Whole_Blood" NA
"1600" "rs55641206" "RP11-6N13.1" "." "." NA
"1601" "rs55727637" "NTAN1" "." "Lymphoblastoid_EUR_exonlevel, Cells_Transformed_fibroblasts" NA
"1602" "rs55758006" "AC092017.1" "." "Muscle_Skeletal, Testis" NA
"1603" "rs55770381" "AP002806.1" "." "." NA
"1604" "rs55771023" "RP11-387H17.6" "." "Nerve_Tibial, Artery_Tibial, Adipose_Subcutaneous" NA
"1605" "rs55796038" "IPMK" "." "." NA
"1606" "rs55798859" "RRAGD" "." "." NA
"1607" "rs55804196" "AC011998.1" "." "." NA
"1608" "rs55844084" "RELL1" "." "." NA
"1609" "rs55897037" "DOCK10" "." "Whole_Blood" NA
"1610" "rs55915934" "RP11-20B7.1" "." "." NA
"1611" "rs55923152" "RP11-202P11.1" "HepG2,GRP20,Stanford,forskolin;K562,CJUN,Stanford,IFNg30;K562,CMYC,Stanford,IFNa30;K562,CMYC,Stanford,IFNg30;K562,CMYC,Stanford,IFNg6h;K562,IRF1,Stanford,IFNg6h;K562,POL2,Stanford,IFNa30;K562,POL2,Stanford,IFNa6h;T-47D,FOXA1,HudsonAlpha,DMSO_0.02pct;T-47D,P300,HudsonAlpha,DMSO_0.02pct" "." NA
"1612" "rs55965619" "PHACTR1" "." "." NA
"1613" "rs55982441" "PACS1" "." "." NA
"1614" "rs55989871" "RTN4RL2" "." "." NA
"1615" "rs55991835" "MGAT5B" "." "." NA
"1616" "rs55996881" "SBF1" "." "." NA
"1617" "rs56009602" "ADAMTS8" "." "." NA
"1618" "rs56020497" "PIGU" "." "Whole_Blood, Nerve_Tibial, Heart_Atrial_Appendage" "https://en.wikipedia.org/wiki/PIGU. The protein encoded by this gene shares similarity with Saccharomyces cerevisiae Cdc91, a predicted integral membrane protein that may function in cell division (细胞分裂) control."
"1619" "rs56036538" "U7" "MCF10A-Er-Src,POL2,Harvard(Weissman),TAM_1uM_36hr;MCF10A-Er-Src,POL2,Stanford,EtOH_0.01pct" "." NA
"1620" "rs56081748" "LRRK1" "." "." NA
"1621" "rs56108522" "FAM110A" "." "." NA
"1622" "rs56139009" "SLC25A16" "." "Lymphoblastoid_EUR_exonlevel, Lymphoblastoid_EUR_genelevel" NA
"1623" "rs56164181" "MDGA2" "." "." NA
"1624" "rs56177407" "RP11-264J4.9" "." "." NA
"1625" "rs56180641" "AGBL1" "." "." NA
"1626" "rs56200621" "RP11-7O14.1" "." "." NA
"1627" "rs56216401" "XXbac-B476C20.13" "." "." NA
"1628" "rs56235766" "RP11-324D17.2" "." "." NA
"1629" "rs56272407" "RIN3" "." "." NA
"1630" "rs56329057" "GUCY1A3" "." "Nerve_Tibial" NA
"1631" "rs56347235" "RP1-15D23.2" "." "." NA
"1632" "rs56368116" "RIMBP2" "." "." NA
"1633" "rs56388170" "CREB5" "." "Whole_Blood" NA
"1634" "rs56394376" "IGFBP4" "." "Whole_Blood" NA
"1635" "rs56400411" "CELF1" "." "Skin_Sun_Exposed_Lower_leg, Adipose_Subcutaneous, Lung" NA
"1636" "rs56665506" "RP4-781K5.8" "." "." NA
"1637" "rs56728321" "SIPA1L2" "." "." NA
"1638" "rs56891156" "Y_RNA" "." "." NA
"1639" "rs56982287" "ATXN7L1" "." "." NA
"1640" "rs57287736" "RP11-59J16.1" "." "Whole_Blood" NA
"1641" "rs573370" "EBF3" "." "." NA
"1642" "rs5743604" "TLR1" "." "Whole_Blood, Lymphoblastoid_EUR_exonlevel" NA
"1643" "rs574446" "TAB2" "." "." NA
"1644" "rs57525174" "RXFP3" "." "." NA
"1645" "rs5753852" "SLC5A1" "." "Whole_Blood" NA
"1646" "rs5754422" "UBE2L3" "." "Nerve_Tibial, Artery_Tibial, Lymphoblastoid_EUR_exonlevel" NA
"1647" "rs5762398" "PITPNB" "." "." NA
"1648" "rs5763842" "HORMAD2" "." "Testis, Lymphoblastoid_EUR_exonlevel, Skin_Sun_Exposed_Lower_leg" NA
"1649" "rs57731889" "PEAR1" "." "." NA
"1650" "rs57748895" "RP4-663N10.1" "." "." NA
"1651" "rs58038961" "CTC-426B10.1" "." "." NA
"1652" "rs58141407" "XPO7" "." "Adipose_Subcutaneous, Artery_Aorta, Nerve_Tibial" NA
"1653" "rs58233215" "IGHV2-5" "." "." NA
"1654" "rs583306" "RP11-692N5.1" "." "Adipose_Subcutaneous, Skin_Sun_Exposed_Lower_leg, Nerve_Tibial" NA
"1655" "rs58357299" "CBLN2" "." "." NA
"1656" "rs58394792" "AC009264.1" "." "Colon_Sigmoid, Colon_Transverse, Heart_Atrial_Appendage" NA
"1657" "rs58416198" "AC079779.7" "." "Esophagus_Mucosa, Lymphoblastoid_EUR_exonlevel, Skin_Sun_Exposed_Lower_leg" NA
"1658" "rs58673511" "RP11-77K12.7" "." "." NA
"1659" "rs58689237" "snoU2_19" "." "." NA
"1660" "rs58897555" "BRD9" "MCF-7,CMYC,UT-A,vehicle" "." NA
"1661" "rs589593" "HSF2" "." "." NA
"1662" "rs59150700" "LRRC43" "." "." NA
"1663" "rs59188898" "BCL9" "." "." NA
"1664" "rs59235751" "PLOD1" "." "Testis, Whole_Blood, Esophagus_Mucosa" NA
"1665" "rs59355118" "GTSF1L" "." "." NA
"1666" "rs59582960" "ZBTB40" "." "." NA
"1667" "rs59642042" "DIAPH3" "." "." NA
"1668" "rs59665939" "AHNAK" "T-47D,GATA3,HudsonAlpha,DMSO_0.02pct" "Brain_aveALL" NA
"1669" "rs59688742" "LINC00159" "." "." NA
"1670" "rs597691" "snoU13" "T-47D,GATA3,HudsonAlpha,DMSO_0.02pct" "." NA
"1671" "rs59985551" "EFEMP1" "." "Thyroid" NA
"1672" "rs60003685" "AL391117.1" "." "." NA
"1673" "rs6006959" "KIAA0930" "." "." NA
"1674" "rs60143889" "RP11-776A13.1" "." "." NA
"1675" "rs6014993" "RBM38" "." "." NA
"1676" "rs6019202" "RP5-991B18.1" "." "." NA
"1677" "rs603424" "PKD2L1" "." "Whole_Blood, Adipose_Visceral_Omentum" NA
"1678" "rs6035276" "SLC24A3" "." "." NA
"1679" "rs604723" "ARHGAP42" "." "Artery_Tibial, Artery_Aorta" NA
"1680" "rs6047591" "RP11-128M1.1" "." "Skin_Sun_Exposed_Lower_leg, Testis" NA
"1681" "rs6054734" "SLC52A3" "." "." NA
"1682" "rs6060912" "TPX2" "." "Whole_Blood" NA
"1683" "rs6073966" "PCIF1" "." "Muscle_Skeletal, Nerve_Tibial, Lymphoblastoid_EUR_exonlevel" NA
"1684" "rs6075270" "SNX5" "T-47D,FOXA1,HudsonAlpha,DMSO_0.02pct" "." NA
"1685" "rs60786522" "SLC25A52" "." "." NA
"1686" "rs6080930" "OVOL2" "." "." NA
"1687" "rs608648" "CTNND1" "." "Lymphoblastoid_EUR_exonlevel, Lymphoblastoid_EUR_genelevel" NA
"1688" "rs608736" "RP11-12A2.3" "." "." NA
"1689" "rs6092091" "KIAA1755" "." "Adipose_Subcutaneous, Thyroid, Whole_Blood" NA
"1690" "rs60981825" "LINC00494" "." "." NA
"1691" "rs61052365" "TMEM212-AS1" "." "." NA
"1692" "rs6108011" "Metazoa_SRP" "." "." NA
"1693" "rs61216544" "PTGR1" "." "." NA
"1694" "rs61264548" "XRCC2" "." "." NA
"1695" "rs61551145" "RP11-281H11.1" "." "." NA
"1696" "rs61594459" "COLEC10" "." "." NA
"1697" "rs61732719" "TNIK" "T-47D,FOXA1,HudsonAlpha,DMSO_0.02pct" "." NA
"1698" "rs61735998" "FHOD3" "." "." NA
"1699" "rs61748187" "FBXL7" "." "." NA
"1700" "rs61781358" "CAP1" "." "Lymphoblastoid_EUR_exonlevel, Cells_Transformed_fibroblasts" NA
"1701" "rs61797806" "GPR156" "." "Esophagus_Muscularis, Lymphoblastoid_EUR_exonlevel, Lymphoblastoid_EUR_genelevel" NA
"1702" "rs61806975" "RP11-418J17.1" "." "." NA
"1703" "rs61811931" "Y_RNA" "." "." NA
"1704" "rs61825724" "SOX13" "." "." NA
"1705" "rs61833066" "CTD-2090I13.1" "." "." NA
"1706" "rs61839660" "IL2RA" "GM12878,NFKB,Stanford,TNFa" "." NA
"1707" "rs61840192" "RP11-428L9.2" "." "Cells_Transformed_fibroblasts" NA
"1708" "rs61855170" "LIPA" "K562,IRF1,Stanford,IFNa30;K562,POL2,Stanford,IFNg6h;K562,STAT1,Stanford,IFNa30;K562,STAT1,Stanford,IFNa6h;K562,STAT2,Stanford,IFNa30;K562,STAT2,Stanford,IFNa6h" "." NA
"1709" "rs61860664" "NRG3" "." "." NA
"1710" "rs61871744" "ARMS2" "." "Testis, Nerve_Tibial, Skin_Sun_Exposed_Lower_leg" NA
"1711" "rs61878615" "LRRC4C" "." "." NA
"1712" "rs61910771" "RP11-469N6.3" "." "." NA
"1713" "rs61916675" "NINJ2" "." "Cells_Transformed_fibroblasts, Skin_Sun_Exposed_Lower_leg, Muscle_Skeletal" NA
"1714" "rs61922869" "RP11-776A13.1" "." "." NA
"1715" "rs61925789" "RP11-114G22.1" "." "." NA
"1716" "rs61929511" "TMTC2" "." "." NA
"1717" "rs61961761" "RP11-545P6.2" "." "." NA
"1718" "rs61962361" "RP11-471M2.2" "." "." NA
"1719" "rs61978721" "TSHR" "." "." NA
"1720" "rs61980087" "CTD-2128A3.2" "." "Nerve_Tibial, Artery_Tibial, Artery_Coronary" NA
"1721" "rs61989532" "SLC25A21" "." "Cells_Transformed_fibroblasts, Adipose_Subcutaneous, Colon_Transverse" NA
"1722" "rs61990158" "C14orf159" "." "." NA
"1723" "rs62002415" "U3" "." "Cells_Transformed_fibroblasts, Skin_Sun_Exposed_Lower_leg" NA
"1724" "rs62018985" "PCSK6" "." "." NA
"1725" "rs62023486" "ONECUT1" "." "." NA
"1726" "rs62025124" "DUOXA1" "." "." NA
"1727" "rs62026377" "CLEC16A" "." "Thyroid" NA
"1728" "rs62050163" "TRAPPC2L" "." "." NA
"1729" "rs62081383" "KCNJ2" "A549,GR,HudsonAlpha,DEX_50nM;A549,GR,HudsonAlpha,DEX_5nM;MCF10A-Er-Src,STAT3,Stanford,EtOH_0.01pct_12hr" "." NA
"1730" "rs62106258" "AC105393.1" "." "." NA
"1731" "rs62117206" "BCL3" "." "." NA
"1732" "rs62125871" "ATAD2B" "." "." NA
"1733" "rs62132775" "CLIP4" "." "." NA
"1734" "rs62134093" "SNORA75" "." "." NA
"1735" "rs62159869" "EN1" "A549,CTCF,HudsonAlpha,DEX_100nM;A549,CTCF,HudsonAlpha,EtOH_0.02pct;MCF-7,CTCF,UT-A,estrogen;MCF-7,CTCF,UT-A,vehicle" "." NA
"1736" "rs62160935" "CXCR4" "." "." NA
"1737" "rs62172472" "AC007319.1" "." "Artery_Tibial, Artery_Aorta, Nerve_Tibial" NA
"1738" "rs62180439" "TMEFF2" "." "." NA
"1739" "rs62191340" "ING5" "." "Thyroid, Lung" NA
"1740" "rs62226560" "MIR3201" "." "." NA
"1741" "rs62236826" "AC090044.1" "." "." NA
"1742" "rs62258028" "RP11-761N21.1" "HepG2,CEBPB,Stanford,forskolin" "." NA
"1743" "rs62275094" "RP11-529G21.2" "." "." NA
"1744" "rs62283224" "FNDC3B" "." "." NA
"1745" "rs62289953" "RP11-323F5.2" "." "." NA
"1746" "rs62313566" "RP11-404I7.2" "." "." NA
"1747" "rs62319078" "UNC5C" "." "." NA
"1748" "rs62323028" "RP11-501E14.1" "." "." NA
"1749" "rs62335894" "TMEM144" "." "." NA
"1750" "rs62336003" "CTD-2587M23.1" "." "." NA
"1751" "rs62351669" "7SK" "." "." NA
"1752" "rs62361676" "C5orf51" "." "." NA
"1753" "rs62363880" "RP11-138J23.1" "." "." NA
"1754" "rs62378328" "CTC-254B4.1" "." "." NA
"1755" "rs62378437" "LHFPL2" "." "." NA
"1756" "rs62390369" "EXOC2" "." "." NA
"1757" "rs62432214" "HEATR2" "." "Cells_Transformed_fibroblasts, Skin_Sun_Exposed_Lower_leg, Esophagus_Muscularis" NA
"1758" "rs62456621" "SEPT14" "." "." NA
"1759" "rs62465047" "Y_RNA" "." "Adipose_Subcutaneous, Skin_Sun_Exposed_Lower_leg, Whole_Blood" NA
"1760" "rs62466118" "SAMD9" "." "." NA
"1761" "rs62501195" "RP11-203E8.1" "." "." NA
"1762" "rs62512207" "AC104417.1" "." "." NA
"1763" "rs62516313" "KB-1448A5.1" "." "." NA
"1764" "rs62527030" "TRAPPC9" "." "." NA
"1765" "rs62573184" "LPAR1" "." "." NA
"1766" "rs62580492" "CDK5RAP2" "." "." NA
"1767" "rs62581399" "TMEM141" "." "Adipose_Subcutaneous, Skin_Sun_Exposed_Lower_leg, Thyroid" NA
"1768" "rs626277" "DACH1" "." "." NA
"1769" "rs626787" "USP1" "." "Lung, Lymphoblastoid_EUR_exonlevel" NA
"1770" "rs634493" "ZNF516" "." "." NA
"1771" "rs640068" "EIF3E" "." "Lymphoblastoid_EUR_exonlevel" NA
"1772" "rs642197" "FGF9" "." "." NA
"1773" "rs6432335" "TRIB2" "." "Nerve_Tibial" NA
"1774" "rs6432615" "RBMS1" "." "." NA
"1775" "rs6436128" "TUBA4A" "." "Testis" NA
"1776" "rs6437056" "DIS3L2" "." "." NA
"1777" "rs6440088" "ATR" "." "Adipose_Subcutaneous, Nerve_Tibial" NA
"1778" "rs6450922" "NPR3" "." "." NA
"1779" "rs6456154" "FGFR1OP" "." "Whole_Blood, Cells_Transformed_fibroblasts, Skin_Sun_Exposed_Lower_leg" NA
"1780" "rs6464165" "PRKAG2" "." "." NA
"1781" "rs6469610" "LINC00536" "." "." NA
"1782" "rs6476433" "UBAP2" "." "Muscle_Skeletal, Esophagus_Muscularis, Whole_Blood" NA
"1783" "rs647912" "SYTL2" "." "Whole_Blood, Muscle_Skeletal" NA
"1784" "rs6480402" "HK1" "." "." NA
"1785" "rs6484289" "CCDC34" "." "." NA
"1786" "rs6484516" "ELP4" "." "Testis" NA
"1787" "rs6486059" "TEAD1" "MCF10A-Er-Src,STAT3,Harvard(Weissman),EtOH_0.01pct_4hr" "." NA
"1788" "rs6491443" "SLC15A1" "." "." NA
"1789" "rs6492711" "TGDS" "." "Esophagus_Muscularis, Brain_Cerebellum, Artery_Tibial" NA
"1790" "rs6497279" "HERC2" "." "." "https://en.wikipedia.org/wiki/E3_ubiquitin_ligase_HERC2. SNPs of HERC2 are strongly associated with iris colour variability in humans. In particular, the rs916977 and rs12913832 SNPs have been reported as good predictors of this trait, and the latter is also significantly associated with skin and hair colour."
"1791" "rs6497339" "SYT17" "." "Lung, Whole_Blood" NA
"1792" "rs6510823" "CDC34" "." "Brain_Cerebellum, Whole_Blood" NA
"1793" "rs6538218" "RP11-654D12.2" "." "." NA
"1794" "rs6545405" "SPTBN1" "." "." NA
"1795" "rs6545753" "AC007131.2" "." "." NA
"1796" "rs6546698" "DYSF" "." "." NA
"1797" "rs6548237" "AC093326.3" "." "." NA
"1798" "rs6549255" "MITF" "." "." NA
"1799" "rs655029" "EHD3" "." "Esophagus_Mucosa" NA
"1800" "rs6554654" "CTNND2" "." "." NA
"1801" "rs6556405" "RNF145" "A549,POL2,HudsonAlpha,EtOH_0.02pct;HeLa-S3,STAT1,Stanford,IFNg30;HepG2,POL2,Stanford,forskolin;K562,CMYC,Stanford,IFNa6h;K562,CMYC,Stanford,IFNg30" "." NA
"1802" "rs6557615" "RP11-875O11.2" "." "Whole_Blood, Adrenal_Gland" NA
"1803" "rs6558407" "PLEC" "." "Cells_Transformed_fibroblasts, Whole_Blood, Nerve_Tibial" NA
"1804" "rs6559933" "U2" "." "." NA
"1805" "rs656116" "SOGA2" "." "." NA
"1806" "rs6574950" "NOVA1" "." "." NA
"1807" "rs6581627" "MSRB3" "." "Nerve_Tibial, Whole_Blood" NA
"1808" "rs6592965" "IKZF1" "K562,CMYC,Stanford,IFNg30" "Thyroid, Lung, Esophagus_Mucosa" NA
"1809" "rs6599542" "ZNF16" "." "Whole_Blood" NA
"1810" "rs6601233" "RP11-1259L22.1" "." "." NA
"1811" "rs660879" "ANKS1B" "." "." NA
"1812" "rs66508877" "RNU6-55" "." "." NA
"1813" "rs66536673" "AKAP1" "." "." NA
"1814" "rs66593272" "ANK1" "." "." "https://en.wikipedia.org/wiki/ANK1. Mutations in erythrocytic ankyrin 1 have been associated in approximately half of all patients with hereditary spherocytosis."
"1815" "rs6664992" "SSBP3" "." "Lymphoblastoid_EUR_exonlevel" NA
"1816" "rs66682451" "RP11-819C21.1" "." "Brain_Nucleus_accumbens_basal_ganglia, Lung, Nerve_Tibial" NA
"1817" "rs66715735" "RASA3" "." "." NA
"1818" "rs6672758" "GALNT2" "." "." NA
"1819" "rs6673973" "RP5-1027O11.1" "." "." NA
"1820" "rs6679677" "RSBN1" "." "Whole_Blood" NA
"1821" "rs66935528" "BAZ1A" "." "Lymphoblastoid_EUR_exonlevel, Testis" NA
"1822" "rs6695898" "TAL1" "." "Whole_Blood, Artery_Aorta, Esophagus_Muscularis" NA
"1823" "rs6698662" "PTPN14" "." "Skin_Sun_Exposed_Lower_leg" NA
"1824" "rs67034637" "IGFBPL1" "." "." NA
"1825" "rs6704663" "RP11-89K21.1" "." "." NA
"1826" "rs67056848" "UCMA" "." "." NA
"1827" "rs6713348" "FMNL2" "." "." NA
"1828" "rs6730558" "AC011747.6" "K562,CMYC,Stanford,IFNa30;K562,CMYC,Stanford,IFNg30;K562,CMYC,Stanford,IFNg6h;K562,STAT2,Stanford,IFNa30" "." NA
"1829" "rs6734367" "ARHGAP15" "." "Whole_Blood" NA
"1830" "rs67372909" "RP11-202P11.1" "." "." NA
"1831" "rs6738433" "DNAJC27" "." "Whole_Blood" NA
"1832" "rs6739037" "FIGN" "." "." NA
"1833" "rs6749308" "NCKAP5" "." "." NA
"1834" "rs6753211" "OSR1" "." "." NA
"1835" "rs67584463" "CADM2" "." "Lung, Heart_Left_Ventricle, Adipose_Subcutaneous" NA
"1836" "rs67625472" "KDM4B" "A549,POL2,HudsonAlpha,DEX_100nM;ECC-1,POL2,HudsonAlpha,DMSO_0.02pct" "Adipose_Subcutaneous" NA
"1837" "rs67641332" "RP11-293N14.1" "." "." NA
"1838" "rs6782812" "RPN1" "." "." NA
"1839" "rs67878484" "Y_RNA" "." "." NA
"1840" "rs6796" "DAGLB" "." "Lung, Whole_Blood, Lymphoblastoid_EUR_exonlevel" NA
"1841" "rs6798428" "CNTN6" "." "." NA
"1842" "rs6801041" "AC133680.1" "." "." NA
"1843" "rs6801761" "CCR2" "." "Skin_Sun_Exposed_Lower_leg" NA
"1844" "rs68055131" "KALRN" "." "Muscle_Skeletal" NA
"1845" "rs6811206" "MMRN1" "." "." NA
"1846" "rs6821293" "RP11-171N4.4" "." "." NA
"1847" "rs6824748" "LCORL" "." "Artery_Tibial, Thyroid, Lymphoblastoid_EUR_exonlevel" NA
"1848" "rs6826638" "RP11-600L4.1" "." "." NA
"1849" "rs6832070" "ENPP6" "." "." NA
"1850" "rs6845901" "EXOSC9" "." "Lymphoblastoid_EUR_exonlevel, Cells_Transformed_fibroblasts" NA
"1851" "rs685091" "FBN1" "ECC-1,GR,HudsonAlpha,DEX_100nM" "Cells_Transformed_fibroblasts, Lymphoblastoid_EUR_exonlevel, Lymphoblastoid_EUR_genelevel" NA
"1852" "rs6851443" "RASGEF1B" "." "Nerve_Tibial" NA
"1853" "rs6871604" "RASGEF1C" "." "Artery_Tibial" NA
"1854" "rs6886695" "HAPLN1" "." "Artery_Tibial, Lung" NA
"1855" "rs6888037" "CTC-228N24.3" "." "Muscle_Skeletal, Adipose_Subcutaneous, Cells_Transformed_fibroblasts" NA
"1856" "rs6897592" "CTD-2037L6.2" "." "." NA
"1857" "rs689801" "SOGA2" "." "." NA
"1858" "rs6899460" "BMP5" "." "." NA
"1859" "rs6912991" "SYNE1" "." "Brain_aveALL" NA
"1860" "rs6924070" "CAP2" "." "." NA
"1861" "rs6932959" "NKAIN2" "." "." NA
"1862" "rs6933491" "GMPR" "." "Artery_Aorta, Whole_Blood" NA
"1863" "rs6937398" "U6" "." "." NA
"1864" "rs6947116" "RP5-921G16.1" "." "." NA
"1865" "rs6952100" "CCDC132" "." "Whole_Blood, Cells_Transformed_fibroblasts, Artery_Tibial" NA
"1866" "rs6971710" "AC024028.1" "." "." NA
"1867" "rs6976031" "CALCR" "." "." NA
"1868" "rs6988985" "CYP11B2" "." "Whole_Blood, Pancreas" NA
"1869" "rs6993770" "ZFPM2" "." "." NA
"1870" "rs6996" "DNAJA4" "." "Artery_Tibial, Whole_Blood" NA
"1871" "rs7028062" "GLIS3" "." "." NA
"1872" "rs7034780" "LHX2" "." "." NA
"1873" "rs706038" "BZW2" "." "Whole_Blood" NA
"1874" "rs7072965" "RP11-139J15.5" "." "." NA
"1875" "rs7082825" "ABI1" "." "." NA
"1876" "rs7090111" "JMJD1C" "." "Esophagus_Mucosa, Brain_Cortex, Brain_Caudate_basal_ganglia" NA
"1877" "rs7090445" "ARID5B" "GM12878,NFKB,Stanford,TNFa" "." NA
"1878" "rs7093768" "RP11-12J10.3" "." "Lymphoblastoid_EUR_exonlevel" NA
"1879" "rs7098619" "MGMT" "." "Thyroid, Artery_Tibial, Adipose_Subcutaneous" NA
"1880" "rs710215" "RP5-848E13.3" "." "." NA
"1881" "rs71325459" "STMN3" "." "." NA
"1882" "rs71355367" "DYM" "." "." NA
"1883" "rs71375797" "RP11-879D6.1" "." "." NA
"1884" "rs71459288" "NELL2" "." "." NA
"1885" "rs7149439" "STXBP6" "." "." NA
"1886" "rs7160448" "MYH7" "." "Skin_Sun_Exposed_Lower_leg, Lymphoblastoid_EUR_exonlevel" NA
"1887" "rs71641976" "RASA1" "." "." NA
"1888" "rs718515" "C18orf25" "." "Whole_Blood" NA
"1889" "rs7203405" "PLCG2" "." "." NA
"1890" "rs7226064" "ASIC2" "." "." NA
"1891" "rs7238279" "U7" "." "." NA
"1892" "rs7249415" "CLC" "." "." NA
"1893" "rs7258898" "C19orf12" "." "Skin_Not_Sun_Exposed_Suprapubic, Skin_Sun_Exposed_Lower_leg" NA
"1894" "rs72614450" "ARHGEF4" "." "." NA
"1895" "rs72617771" "CAMK2D" "." "." NA
"1896" "rs726260" "ZNF749" "." "Lymphoblastoid_EUR_exonlevel, Whole_Blood" NA
"1897" "rs72634913" "RP11-525J21.1" "." "." NA
"1898" "rs72635657" "GPC6" "." "." NA
"1899" "rs72638318" "RP11-584P21.2" "." "." NA
"1900" "rs72642707" "SFRP1" "." "." NA
"1901" "rs72655714" "RP11-742B18.1" "." "." NA
"1902" "rs72656010" "PLAG1" "." "Heart_Left_Ventricle, Nerve_Tibial, Lymphoblastoid_EUR_exonlevel" NA
"1903" "rs72659281" "PREX2" "." "." NA
"1904" "rs72693676" "TRAPPC11" "." "." NA
"1905" "rs72696011" "TRIM33" "." "Muscle_Skeletal" NA
"1906" "rs72697708" "SNHG14" "." "." NA
"1907" "rs72698954" "GALNTL6" "." "." NA
"1908" "rs72703425" "POGK" "." "." NA
"1909" "rs72706050" "U6" "." "." NA
"1910" "rs72714495" "ADCY8" "." "." NA
"1911" "rs72720099" "WDR67" "." "." NA
"1912" "rs7273292" "NKX2-2" "." "." NA
"1913" "rs72741427" "ESRRG" "." "." NA
"1914" "rs72751119" "TMEM9" "." "." NA
"1915" "rs72752534" "CTD-2288O8.1" "." "." NA
"1916" "rs72757570" "PTPDC1" "." "." NA
"1917" "rs72761071" "snoU13" "." "." NA
"1918" "rs72763685" "HBA1" "." "Nerve_Tibial, Lung, Artery_Aorta" NA
"1919" "rs72770063" "TMEM161B" "." "." NA
"1920" "rs72774901" "SLC25A46" "." "Nerve_Tibial" NA
"1921" "rs72775778" "C9orf163" "." "Thyroid, Whole_Blood, Pancreas" NA
"1922" "rs72778520" "RP11-118K6.2" "." "." NA
"1923" "rs72784277" "ARHGAP21" "." "." NA
"1924" "rs72800992" "PPM1B" "." "." NA
"1925" "rs72801832" "RBL2" "." "Skin_Sun_Exposed_Lower_leg, Thyroid, Lung" NA
"1926" "rs72804597" "CTD-2015G9.2" "." "." NA
"1927" "rs72820679" "CTNNA2" "." "." NA
"1928" "rs72827335" "NRG3" "." "." NA
"1929" "rs72827724" "AC109826.2" "." "." NA
"1930" "rs72828881" "ARHGAP25" "." "." NA
"1931" "rs72829044" "SPINK5" "." "." NA
"1932" "rs72831766" "AC073987.1" "." "." NA
"1933" "rs72833470" "RP11-6N17.2" "." "Lymphoblastoid_EUR_exonlevel, Thyroid, Testis" NA
"1934" "rs72836000" "Y_RNA" "." "." NA
"1935" "rs72838948" "AC010744.1" "." "." NA
"1936" "rs72842009" "ATOH8" "HepG2,HNF4A,Stanford,forskolin" "." NA
"1937" "rs7284306" "SMC1B" "." "Whole_Blood, Lymphoblastoid_EUR_genelevel, Lymphoblastoid_EUR_exonlevel" NA
"1938" "rs72844408" "PAX2" "." "." NA
"1939" "rs72859123" "AMPD3" "." "." NA
"1940" "rs72867558" "CUL9" "." "." NA
"1941" "rs72872005" "RP11-879D6.1" "." "." NA
"1942" "rs72887854" "RP11-449D8.5" "." "." NA
"1943" "rs72888508" "FHIT" "." "." NA
"1944" "rs72889747" "LAMA1" "." "." NA
"1945" "rs72907418" "U6" "." "." NA
"1946" "rs72909350" "C2orf88" "." "." NA
"1947" "rs72917317" "TPCN2" "." "Esophagus_Muscularis, Artery_Aorta, Artery_Tibial" NA
"1948" "rs72918098" "EPHA7" "." "." NA
"1949" "rs72925063" "GNLY" "A549,USF1,HudsonAlpha,DEX_100nM;A549,USF1,HudsonAlpha,EtOH_0.02pct" "." NA
"1950" "rs72929920" "MTX2" "." "." NA
"1951" "rs72940628" "LACE1" "." "." NA
"1952" "rs72942795" "AC005042.4" "." "Lymphoblastoid_EUR_exonlevel" NA
"1953" "rs72943298" "AC012671.3" "." "." NA
